trial_in_run,trial_global,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_folds,selection_metric,selection_score,param__n_estimators,param__learning_rate,param__max_depth,param__min_child_weight,param__subsample,param__colsample_bytree,param__reg_alpha,param__reg_lambda,param__gamma,param__objective,param__random_state,param__tree_method,param__n_jobs,param__early_stopping_rounds,param__eval_metric,param__device
0,0,303.6817401194385,70.36527634127415,141.3193415031888,39.48656152413618,0.8241936504492882,5.0,rmse,303.6817401194385,5000,0.0679068280376356,3,10.412594423600476,0.6979567415213905,0.6558151714100575,8.364819722541105e-08,15.146263000684453,0.0008096527657152,reg:squarederror,42,hist,8,200,rmse,
1,1,314.70194309345914,78.41770007580224,145.62278545657443,42.09505324535893,0.8098577214479217,5.0,rmse,314.70194309345914,5000,0.0586473605003183,3,0.5648770979871255,0.6874551899214414,0.8021421152413449,1.733100418589909e-08,1.2492383432925724,0.0070625240546103,reg:squarederror,42,hist,8,200,rmse,
2,2,279.0808373628645,75.8628070307817,126.68082934648086,42.29920668207215,0.84819982585859,5.0,rmse,279.0808373628645,5000,0.0511664412921314,6,3.145803792480999,0.7112762832922651,0.9477201283171736,0.0674941767032076,1.0430103957532886,6.36106133800241e-05,reg:squarederror,42,hist,8,200,rmse,
3,3,289.2377897416719,70.11132874553519,128.45207689226308,38.61840187900708,0.8394754022163975,5.0,rmse,289.2377897416719,5000,0.022988940193715,6,25.17906654186499,0.7346378180450507,0.6370983373520591,7.420743007191677e-08,24.771866852354822,0.0027135278439339,reg:squarederror,42,hist,8,200,rmse,
4,4,299.2822592235315,74.16754045952665,128.07000653466076,37.706258327644896,0.8275173885461715,5.0,rmse,299.2822592235315,5000,0.1122271912674896,10,4.492257636714323,0.9892463055917482,0.7514137508833414,0.0009297489176577,22.791837133093534,0.0036870393383772,reg:squarederror,42,hist,8,200,rmse,
5,5,283.5813300443044,68.35871488590072,127.09045179123794,37.39129873358872,0.844798685584218,5.0,rmse,283.5813300443044,5000,0.1321619764446547,6,8.949634430885759,0.6183297534622648,0.6911593102606187,4.022459428732787e-06,0.7220278644953136,1.244852733394201e-06,reg:squarederror,42,hist,8,200,rmse,
6,6,282.62711378684287,74.65483991442753,125.7344108997314,39.72962989130224,0.845167750705502,5.0,rmse,282.62711378684287,5000,0.0135333679355704,7,3.2003840729414894,0.9336441706563,0.6650616388624339,1.5755649177599847e-05,10.94763610213834,0.0207196693779305,reg:squarederror,42,hist,8,200,rmse,
7,7,352.5236845044305,57.49594138609146,144.56476564101047,27.40781176151356,0.7619737378506543,5.0,rmse,352.5236845044305,5000,0.0775025543487395,4,6.054761820169987,0.6684554592792388,0.8916507191801397,2.9554420206694097e-07,2.869993332888068,8.048411181200635,reg:squarederror,42,hist,8,200,rmse,
8,8,284.26501963683273,87.4139307853616,128.0774248462474,46.10368507285095,0.8400484550298056,5.0,rmse,284.26501963683273,5000,0.0680234860515252,6,8.247412008548425,0.9371407680759238,0.910399964618498,1.1519473968379427e-06,0.5796562089516792,6.903628811131403e-06,reg:squarederror,42,hist,8,200,rmse,
9,9,294.93764523198047,70.36107718867942,130.61106967938125,37.97565313414746,0.8325010063593968,5.0,rmse,294.93764523198047,5000,0.0223017483358592,6,21.02152145362898,0.8268720205914009,0.8871657082875903,8.196697288414109e-07,4.9823303909256085,0.9165335877855358,reg:squarederror,42,hist,8,200,rmse,
10,10,306.3272481879281,68.65007905695474,133.66085599125108,37.89789971820378,0.8202963635929622,5.0,rmse,306.3272481879281,5000,0.0686071795670953,5,1.4789960141790204,0.6986510030775934,0.8245472536652603,2.3156583090169025e-06,7.381455141076525,1.2033887646665302,reg:squarederror,42,hist,8,200,rmse,
11,11,289.3197046596981,64.75455602463566,127.83657403822762,37.04443019620874,0.8400525918496969,5.0,rmse,289.3197046596981,5000,0.0330850684480682,6,29.67331613450527,0.6553326979563423,0.7974063339558524,0.0633927245687541,26.37398917925305,2.37449836093676e-07,reg:squarederror,42,hist,8,200,rmse,
12,12,291.5794956127094,83.30127333032979,124.31573018322906,38.39110381412166,0.8334196076395483,5.0,rmse,291.5794956127094,5000,0.0161488419100548,9,5.747453523733034,0.7539069246698,0.8383553713444513,0.0001630981331517,1.5914692228786491,0.0009528687099554,reg:squarederror,42,hist,8,200,rmse,
13,13,302.21781819816624,52.518934227674585,135.4875995610958,32.305749487676096,0.8258416696807069,5.0,rmse,302.21781819816624,5000,0.1683180997576233,4,8.149935082425085,0.8147881321635181,0.7067300759810171,0.0058702444582254,0.8357460863155058,8.182523401223881e-05,reg:squarederror,42,hist,8,200,rmse,
14,14,288.699145570627,69.69625437499299,128.6461692786271,39.27859345610796,0.839780419702859,5.0,rmse,288.699145570627,5000,0.0389321288167303,7,26.73831544545723,0.904784879620826,0.8030726698417301,9.071882262348913e-08,8.903697395324835,0.3758582899870089,reg:squarederror,42,hist,8,200,rmse,
15,15,292.0654849888632,75.13815579689248,129.03945222742806,40.63179267505931,0.8354168711263664,5.0,rmse,292.0654849888632,5000,0.0457598547373222,6,0.9348487266333708,0.9050043200300604,0.8157516120478503,0.1017743430431989,5.750125833533492,1.0119220634419168e-08,reg:squarederror,42,hist,8,200,rmse,
16,16,315.80590981013347,71.92417764558337,145.24230312518426,41.02288516251098,0.8099549650134283,5.0,rmse,315.80590981013347,5000,0.0264080755291022,3,0.7904742733024165,0.7451923068723734,0.9941285515775248,0.1823783335807071,1.5061721917225104,1.4717848631361077e-06,reg:squarederror,42,hist,8,200,rmse,
17,17,294.58098134363274,61.46965900498753,135.092919730681,36.55608186863292,0.8353786481295244,5.0,rmse,294.58098134363274,5000,0.0547202914675989,4,0.7100268911177512,0.7943961853266455,0.6276850073873534,0.0700518303624229,17.007436688860963,1.4306163380277744e-07,reg:squarederror,42,hist,8,200,rmse,
18,18,288.57930914765564,76.53539374462892,131.36359400871825,41.21446067609444,0.8384845792621339,5.0,rmse,288.57930914765564,5000,0.0415294931075672,5,1.4800649720137051,0.9489732164341028,0.7692551760803548,8.057194525523433e-07,5.991867234883033,0.0371004879726254,reg:squarederror,42,hist,8,200,rmse,
19,19,288.5270974297246,79.99834473321992,127.2487026214292,41.26215354954515,0.8377426027394874,5.0,rmse,288.5270974297246,5000,0.0182685285032141,7,2.561171505887772,0.8686747838553133,0.7493682010117175,1.2488974008890656,3.998916051060295,1.7027485651691812e-06,reg:squarederror,42,hist,8,200,rmse,
20,20,308.6076742189931,76.86880602365561,140.18910980006564,40.53772063933536,0.8173879239988814,5.0,rmse,308.6076742189931,5000,0.0121143359065351,3,5.559962823188681,0.6920458930386308,0.6880869537806238,4.354494778085529e-08,9.144835946631543,1.14941286648282e-06,reg:squarederror,42,hist,8,200,rmse,
